algos,0,1,2,3,4,5,6,7
RF,0.777,0.7815,0.8195,0.83,0.8495,0.855,0.8615,0.87
resnet,0.787,0.794,0.872,0.8915,0.9225,0.951,0.956,0.963
simpleCNN,0.7795,0.7555,0.806,0.803,0.867,0.8905,0.9165,0.929
2layercnn,0.5,0.655,0.6835,0.6995,0.829,0.83,0.861,0.911
5layercnn,0.8035,0.8375,0.863,0.903,0.912,0.927,0.951,0.9615
