algos,0,1,2,3,4,5,6,7
RF,0.794,0.833,0.8385,0.8595,0.861,0.873,0.8775,0.8915
resnet,0.714,0.785,0.844,0.895,0.9165,0.9415,0.9505,0.961
simpleCNN,0.729,0.7695,0.8,0.852,0.855,0.877,0.904,0.9115
2layercnn,0.5,0.5,0.706,0.7595,0.814,0.835,0.873,0.9125
5layercnn,0.774,0.7915,0.8655,0.9035,0.921,0.926,0.94,0.9555
