algos,0,1,2,3,4,5
RF,0.693,0.7265,0.762,0.7985,0.8215,0.8465
resnet,0.548,0.7195,0.8215,0.851,0.8985,0.9335
CNN,0.507,0.5515,0.567,0.6495,0.763,0.8345
