algos,0,1,2,3,4,5
RF,0.6425,0.729,0.7745,0.799,0.828,0.84
resnet,0.627,0.7095,0.812,0.8605,0.9025,0.9315
CNN,0.466,0.5395,0.568,0.655,0.7635,0.834
