algos,0,1,2,3,4,5
RF,0.726,0.755,0.7815,0.81,0.82,0.843
resnet,0.6375,0.768,0.809,0.8645,0.891,0.9325
CNN,0.4995,0.555,0.5635,0.61,0.775,0.8355
