algos,0,1,2,3,4,5
RF,0.7275,0.7135,0.765,0.7965,0.83,0.845
resnet,0.678,0.7295,0.8085,0.866,0.889,0.943
CNN,0.4945,0.5415,0.582,0.6445,0.7375,0.8475
