algos,0,1,2,3,4,5
RF,0.681,0.7505,0.772,0.7935,0.826,0.8465
resnet,0.5755,0.735,0.8025,0.872,0.899,0.931
CNN,0.512,0.519,0.575,0.6325,0.7335,0.831
