algos,0,1,2,3,4,5
RF,0.693,0.75,0.75,0.7995,0.824,0.841
resnet,0.5915,0.743,0.807,0.8795,0.895,0.923
CNN,0.479,0.557,0.5495,0.6695,0.7565,0.8225
