algos,0,1,2,3,4,5
RF,0.463,0.7415,0.7695,0.808,0.82,0.8405
resnet,0.5845,0.699,0.8245,0.866,0.8985,0.9305
CNN,0.459,0.55,0.546,0.659,0.751,0.8485
