algos,0,1,2,3,4,5
RF,0.647,0.76,0.7745,0.805,0.831,0.8465
resnet,0.6455,0.704,0.822,0.8745,0.884,0.932
CNN,0.4935,0.5515,0.532,0.6355,0.7415,0.817
