algos,0,1,2,3,4,5
RF,0.7185,0.719,0.7465,0.803,0.8195,0.847
resnet,0.638,0.7305,0.8175,0.857,0.9045,0.941
CNN,0.4835,0.528,0.569,0.6485,0.7375,0.839
