algos,0,1,2,3,4,5
RF,0.743,0.694,0.7415,0.787,0.8195,0.844
resnet,0.644,0.771,0.8295,0.856,0.8925,0.9365
CNN,0.474,0.537,0.562,0.6435,0.754,0.824
