algos,0,1,2,3,4,5
RF,0.6195,0.752,0.767,0.7995,0.833,0.843
resnet,0.6185,0.6905,0.8075,0.873,0.9055,0.9435
CNN,0.503,0.521,0.577,0.6555,0.752,0.839
