algos,0,1,2,3,4,5
RF,0.7,0.7415,0.739,0.7995,0.8265,0.8435
resnet,0.6335,0.7295,0.8255,0.867,0.887,0.939
CNN,0.5065,0.502,0.56,0.6835,0.752,0.837
