algos,0,1,2,3,4,5
RF,0.6795,0.724,0.7835,0.811,0.8185,0.8425
resnet,0.603,0.701,0.816,0.8755,0.8975,0.9455
CNN,0.469,0.511,0.5655,0.663,0.7625,0.842
