algos,0,1,2,3,4,5
RF,0.684,0.7335,0.78,0.8045,0.83,0.849
resnet,0.5755,0.702,0.824,0.852,0.9045,0.9405
CNN,0.4595,0.533,0.573,0.66,0.7445,0.8455
