algos,0,1,2,3,4,5
RF,0.513,0.746,0.7495,0.8015,0.826,0.8365
resnet,0.664,0.6785,0.8255,0.8595,0.8965,0.945
CNN,0.483,0.5325,0.548,0.639,0.765,0.834
