algos,0,1,2,3,4,5
RF,0.7095,0.7275,0.773,0.8045,0.8265,0.844
resnet,0.68,0.703,0.841,0.8655,0.903,0.9385
CNN,0.4865,0.5355,0.552,0.6435,0.748,0.826
