algos,0,1,2,3,4,5
RF,0.7475,0.7305,0.7575,0.811,0.825,0.8455
resnet,0.672,0.667,0.838,0.8725,0.903,0.9305
CNN,0.4855,0.542,0.551,0.6735,0.7535,0.8335
