algos,0,1,2,3,4,5
RF,0.6315,0.7255,0.7905,0.801,0.826,0.846
resnet,0.589,0.739,0.8125,0.8125,0.903,0.928
CNN,0.5,0.5555,0.535,0.675,0.767,0.838
