algos,0,1,2,3,4,5
RF,0.762,0.748,0.753,0.805,0.8285,0.846
resnet,0.588,0.725,0.832,0.8455,0.899,0.9335
CNN,0.502,0.549,0.555,0.6645,0.746,0.827
