algos,0,1,2,3,4,5
RF,0.7065,0.7115,0.7665,0.792,0.825,0.8415
resnet,0.648,0.7135,0.809,0.847,0.895,0.9235
CNN,0.4925,0.529,0.557,0.6375,0.747,0.8425
