algos,0,1,2,3,4,5
RF,0.691,0.7435,0.759,0.799,0.823,0.841
resnet,0.598,0.739,0.8335,0.8685,0.905,0.932
CNN,0.509,0.5395,0.5685,0.6395,0.7545,0.8345
