algos,0,1,2,3,4,5
RF,0.6875,0.7445,0.767,0.812,0.83,0.8425
resnet,0.666,0.738,0.8295,0.8575,0.9045,0.94
CNN,0.4775,0.5565,0.555,0.666,0.7555,0.832
