algos,0,1,2,3,4,5
RF,0.707,0.6585,0.7785,0.798,0.822,0.8445
resnet,0.616,0.741,0.8265,0.8555,0.8935,0.937
CNN,0.4645,0.5275,0.5635,0.668,0.755,0.843
