algos,0,1,2,3,4,5
RF,0.6755,0.7435,0.774,0.8155,0.825,0.8465
resnet,0.608,0.743,0.8215,0.8635,0.902,0.935
CNN,0.5055,0.544,0.553,0.633,0.745,0.8295
