algos,0,1,2,3,4,5
RF,0.703,0.739,0.778,0.798,0.8205,0.843
resnet,0.682,0.7435,0.8175,0.8705,0.893,0.9315
CNN,0.486,0.573,0.5525,0.666,0.7565,0.843
