algos,0,1,2,3,4,5
RF,0.6945,0.74,0.765,0.8085,0.825,0.842
resnet,0.634,0.668,0.812,0.8605,0.8925,0.9355
CNN,0.4815,0.497,0.5745,0.6555,0.7725,0.8235
