algos,0,1,2,3,4,5
RF,0.547,0.7125,0.7885,0.797,0.831,0.8495
resnet,0.618,0.711,0.817,0.868,0.8965,0.934
CNN,0.498,0.539,0.567,0.6545,0.767,0.8455
