algos,0,1,2,3,4,5
RF,0.734,0.726,0.767,0.798,0.815,0.849
resnet,0.628,0.761,0.81,0.8575,0.9015,0.9315
CNN,0.4925,0.502,0.5775,0.639,0.749,0.8265
