algos,0,1,2,3,4,5
RF,0.712,0.7675,0.759,0.8095,0.8255,0.839
resnet,0.638,0.7175,0.8085,0.856,0.8845,0.9415
CNN,0.48,0.5525,0.5685,0.6205,0.755,0.847
