algos,0,1,2,3,4,5,6,7
RF,0.35325,0.36675,0.4365,0.47675,0.513,0.55425,0.57775,0.61175
resnet,0.24925,0.24675,0.303,0.4935,0.602,0.66325,0.73,0.78975
simpleCNN,0.298,0.25825,0.34025,0.40675,0.48525,0.55,0.616,0.63525
2layercnn,0.2505,0.249,0.26325,0.23225,0.3685,0.43875,0.5435,0.60325
5layercnn,0.2505,0.305,0.362,0.4765,0.55425,0.5935,0.64925,0.71125
