algos,0,1,2,3,4,5,6,7
RF,0.2485,0.2803333333333333,0.3315,0.36083333333333334,0.4236666666666667,0.4633333333333333,0.48633333333333334,0.5203333333333333
resnet,0.2055,0.16916666666666666,0.19616666666666666,0.37316666666666665,0.5151666666666667,0.5955,0.6743333333333333,0.73
simpleCNN,0.206,0.15233333333333332,0.2445,0.3463333333333333,0.38016666666666665,0.4555,0.5163333333333333,0.56
2layercnn,0.16133333333333333,0.178,0.16216666666666665,0.18983333333333333,0.23816666666666667,0.33066666666666666,0.424,0.5228333333333334
5layercnn,0.16316666666666665,0.16633333333333333,0.23,0.38283333333333336,0.474,0.5378333333333334,0.5935,0.6545
