algos,0,1,2,3,4,5,6,7
RF,0.2706,0.3404,0.3934,0.445,0.5392,0.5514,0.5958,0.6196
resnet,0.175,0.1896,0.2576,0.4654,0.6006,0.6942,0.7666,0.8196
simpleCNN,0.159,0.202,0.2252,0.407,0.4822,0.5498,0.6446,0.695
2layercnn,0.1556,0.1812,0.2004,0.212,0.354,0.407,0.5512,0.6796
5layercnn,0.1882,0.1856,0.3132,0.4314,0.5882,0.6634,0.7206,0.7776
