algos,0,1,2,3,4,5,6,7
RF,0.2658,0.3242,0.395,0.4978,0.5288,0.5582,0.5916,0.6256
resnet,0.2084,0.2034,0.2782,0.4994,0.6314,0.7164,0.7844,0.8354
simpleCNN,0.2262,0.2166,0.2966,0.413,0.488,0.5688,0.629,0.6858
2layercnn,0.2036,0.2,0.2092,0.2174,0.2898,0.444,0.5412,0.6594
5layercnn,0.1942,0.2066,0.273,0.5002,0.5952,0.6972,0.7252,0.791
