algos,0,1,2,3,4,5,6,7
RF,0.17942857142857144,0.23257142857142857,0.2397142857142857,0.3355714285714286,0.3922857142857143,0.422,0.4595714285714286,0.49228571428571427
resnet,0.1482857142857143,0.16071428571428573,0.1997142857142857,0.33414285714285713,0.46485714285714286,0.564,0.6361428571428571,0.7057142857142857
simpleCNN,0.14357142857142857,0.11285714285714285,0.2082857142857143,0.265,0.3365714285714286,0.4417142857142857,0.48714285714285716,0.548
2layercnn,0.14357142857142857,0.139,0.1372857142857143,0.1647142857142857,0.2571428571428571,0.30657142857142855,0.3992857142857143,0.5117142857142857
5layercnn,0.13942857142857143,0.13542857142857143,0.216,0.324,0.43042857142857144,0.5054285714285714,0.5921428571428572,0.643
