algos,0,1,2,3,4,5,6,7
RF,0.2075,0.23766666666666666,0.333,0.3935,0.441,0.486,0.5225,0.5533333333333333
resnet,0.18016666666666667,0.15216666666666667,0.25383333333333336,0.38066666666666665,0.517,0.6231666666666666,0.7173333333333334,0.7916666666666666
simpleCNN,0.185,0.1425,0.24233333333333335,0.31933333333333336,0.41283333333333333,0.4935,0.5543333333333333,0.5925
2layercnn,0.1195,0.18083333333333335,0.2055,0.18916666666666668,0.23883333333333334,0.36866666666666664,0.4588333333333333,0.581
5layercnn,0.15083333333333335,0.15383333333333332,0.20583333333333334,0.3535,0.48083333333333333,0.5633333333333334,0.6695,0.7375
