algos,0,1,2,3,4,5,6,7
RF,0.2365,0.23166666666666666,0.3571666666666667,0.4115,0.4615,0.49116666666666664,0.5273333333333333,0.5386666666666666
resnet,0.15983333333333333,0.12533333333333332,0.2055,0.4085,0.5373333333333333,0.6278333333333334,0.704,0.771
simpleCNN,0.17816666666666667,0.154,0.222,0.3258333333333333,0.4066666666666667,0.49283333333333335,0.5578333333333333,0.6066666666666667
2layercnn,0.165,0.15866666666666668,0.172,0.19633333333333333,0.236,0.3571666666666667,0.4688333333333333,0.5811666666666667
5layercnn,0.1915,0.16833333333333333,0.24766666666666667,0.4185,0.5096666666666667,0.58,0.6675,0.7173333333333334
