algos,0,1,2,3,4,5,6,7
RF,0.22116666666666668,0.2693333333333333,0.31533333333333335,0.39416666666666667,0.44633333333333336,0.47883333333333333,0.5225,0.5528333333333333
resnet,0.16616666666666666,0.1705,0.21283333333333335,0.40016666666666667,0.521,0.6133333333333333,0.7001666666666667,0.7626666666666667
simpleCNN,0.14983333333333335,0.179,0.21416666666666667,0.3205,0.4171666666666667,0.4708333333333333,0.5543333333333333,0.6196666666666667
2layercnn,0.14283333333333334,0.164,0.16466666666666666,0.17616666666666667,0.202,0.3551666666666667,0.467,0.583
5layercnn,0.16516666666666666,0.1675,0.1825,0.37066666666666664,0.45766666666666667,0.5528333333333333,0.641,0.7178333333333333
