algos,0,1,2,3,4,5,6,7
RF,0.19066666666666668,0.31433333333333335,0.348,0.4195,0.46066666666666667,0.494,0.527,0.5496666666666666
resnet,0.191,0.1925,0.2105,0.366,0.4815,0.5966666666666667,0.7105,0.7858333333333334
simpleCNN,0.1215,0.21633333333333332,0.21866666666666668,0.3298333333333333,0.4078333333333333,0.4771666666666667,0.5515,0.6036666666666667
2layercnn,0.1435,0.1725,0.16166666666666665,0.18583333333333332,0.21083333333333334,0.3935,0.46,0.5511666666666667
5layercnn,0.16566666666666666,0.163,0.2365,0.395,0.49166666666666664,0.575,0.6475,0.732
