algos,0,1,2,3,4,5,6,7
RF,0.2545,0.268,0.33416666666666667,0.4035,0.4741666666666667,0.5171666666666667,0.5496666666666666,0.5913333333333334
resnet,0.161,0.136,0.22683333333333333,0.4045,0.5591666666666667,0.6668333333333333,0.7428333333333333,0.8055
simpleCNN,0.15983333333333333,0.16766666666666666,0.277,0.35583333333333333,0.4345,0.5253333333333333,0.6075,0.6558333333333334
2layercnn,0.16216666666666665,0.09916666666666667,0.16,0.1705,0.22016666666666668,0.37466666666666665,0.4886666666666667,0.6325
5layercnn,0.161,0.141,0.25383333333333336,0.43416666666666665,0.5233333333333333,0.616,0.6835,0.7598333333333334
