algos,0,1,2,3,4,5,6,7
RF,0.20185714285714285,0.24871428571428572,0.31642857142857145,0.3595714285714286,0.4165714285714286,0.4695714285714286,0.49328571428571427,0.5277142857142857
resnet,0.16285714285714287,0.148,0.19885714285714284,0.335,0.471,0.5864285714285714,0.6927142857142857,0.7605714285714286
simpleCNN,0.14914285714285713,0.17871428571428571,0.19314285714285714,0.3067142857142857,0.37657142857142856,0.45571428571428574,0.5245714285714286,0.578
2layercnn,0.10642857142857143,0.18714285714285714,0.14085714285714285,0.213,0.22242857142857142,0.37314285714285716,0.427,0.553
5layercnn,0.123,0.153,0.17385714285714285,0.3534285714285714,0.46014285714285713,0.5561428571428572,0.6341428571428571,0.714
