algos,0,1,2,3,4,5,6,7
RF,0.21483333333333332,0.29883333333333334,0.353,0.4038333333333333,0.4688333333333333,0.52,0.5421666666666667,0.578
resnet,0.15516666666666667,0.1615,0.25133333333333335,0.4031666666666667,0.5573333333333333,0.6525,0.747,0.7966666666666666
simpleCNN,0.168,0.14766666666666667,0.2275,0.31816666666666665,0.4305,0.49766666666666665,0.5905,0.6436666666666667
2layercnn,0.1435,0.16616666666666666,0.21883333333333332,0.1705,0.2485,0.4063333333333333,0.4955,0.6001666666666666
5layercnn,0.17033333333333334,0.17916666666666667,0.2843333333333333,0.3898333333333333,0.5185,0.5976666666666667,0.6698333333333333,0.7655
