algos,0,1,2,3,4,5,6,7
RF,0.18385714285714286,0.27014285714285713,0.31757142857142856,0.35285714285714287,0.4217142857142857,0.4725714285714286,0.49714285714285716,0.5362857142857143
resnet,0.1417142857142857,0.1407142857142857,0.1957142857142857,0.3697142857142857,0.49457142857142855,0.6052857142857143,0.6902857142857143,0.77
simpleCNN,0.15185714285714286,0.15628571428571428,0.18257142857142858,0.30442857142857144,0.3811428571428571,0.4615714285714286,0.527,0.594
2layercnn,0.129,0.14114285714285715,0.14242857142857143,0.15071428571428572,0.23185714285714284,0.34585714285714286,0.452,0.5467142857142857
5layercnn,0.12885714285714286,0.10971428571428571,0.178,0.36642857142857144,0.4512857142857143,0.5144285714285715,0.6444285714285715,0.7298571428571429
