algos,0,1,2,3,4,5,6,7
RF,0.22816666666666666,0.31516666666666665,0.34883333333333333,0.43083333333333335,0.4885,0.5321666666666667,0.5778333333333333,0.6055
resnet,0.175,0.16633333333333333,0.2643333333333333,0.4081666666666667,0.5548333333333333,0.658,0.7396666666666667,0.8161666666666667
simpleCNN,0.188,0.16966666666666666,0.2775,0.3775,0.4555,0.5303333333333333,0.6045,0.6736666666666666
2layercnn,0.1775,0.13833333333333334,0.18966666666666668,0.18766666666666668,0.275,0.3868333333333333,0.498,0.6355
5layercnn,0.16416666666666666,0.137,0.19383333333333333,0.4005,0.5348333333333334,0.6053333333333333,0.7208333333333333,0.792
