algos,0,1,2,3,4,5,6,7
RF,0.266,0.2535,0.3368333333333333,0.42133333333333334,0.463,0.4975,0.53,0.557
resnet,0.16516666666666666,0.16633333333333333,0.21483333333333332,0.4075,0.547,0.6435,0.7348333333333333,0.7883333333333333
simpleCNN,0.16816666666666666,0.1295,0.252,0.35783333333333334,0.43083333333333335,0.49166666666666664,0.5605,0.6111666666666666
2layercnn,0.1715,0.16866666666666666,0.18166666666666667,0.18383333333333332,0.2836666666666667,0.36566666666666664,0.4585,0.5828333333333333
5layercnn,0.1775,0.16666666666666666,0.19616666666666666,0.39916666666666667,0.5248333333333334,0.5911666666666666,0.6613333333333333,0.7445
