algos,0,1,2,3,4,5,6,7
RF,0.2125,0.32066666666666666,0.328,0.38366666666666666,0.44283333333333336,0.4821666666666667,0.5068333333333334,0.5398333333333334
resnet,0.14983333333333335,0.173,0.19016666666666668,0.4021666666666667,0.5321666666666667,0.622,0.6943333333333334,0.766
simpleCNN,0.1535,0.15766666666666668,0.20416666666666666,0.32516666666666666,0.41833333333333333,0.48333333333333334,0.5453333333333333,0.597
2layercnn,0.201,0.16566666666666666,0.17416666666666666,0.1695,0.23583333333333334,0.35533333333333333,0.447,0.5685
5layercnn,0.16883333333333334,0.1725,0.22366666666666668,0.3586666666666667,0.49883333333333335,0.5788333333333333,0.6413333333333333,0.7221666666666666
