algos,0,1,2,3,4,5,6,7
RF,0.18166666666666667,0.251,0.3501666666666667,0.42716666666666664,0.46266666666666667,0.5273333333333333,0.5533333333333333,0.5841666666666666
resnet,0.15,0.18083333333333335,0.22033333333333333,0.406,0.519,0.6541666666666667,0.731,0.8053333333333333
simpleCNN,0.16483333333333333,0.186,0.22816666666666666,0.3481666666666667,0.43,0.5291666666666667,0.5865,0.6413333333333333
2layercnn,0.1675,0.17383333333333334,0.17266666666666666,0.16783333333333333,0.20783333333333334,0.3478333333333333,0.5011666666666666,0.6286666666666667
5layercnn,0.1555,0.164,0.22716666666666666,0.42683333333333334,0.5101666666666667,0.6246666666666667,0.675,0.764
