algos,0,1,2,3,4,5,6,7
RF,0.23516666666666666,0.2645,0.3448333333333333,0.386,0.456,0.49683333333333335,0.539,0.571
resnet,0.1745,0.18233333333333332,0.21766666666666667,0.4166666666666667,0.5105,0.623,0.7105,0.7928333333333333
simpleCNN,0.17283333333333334,0.19016666666666668,0.24833333333333332,0.3408333333333333,0.407,0.4835,0.5671666666666667,0.6105
2layercnn,0.166,0.2005,0.16883333333333334,0.24883333333333332,0.21533333333333332,0.376,0.4635,0.5886666666666667
5layercnn,0.164,0.186,0.236,0.398,0.474,0.5465,0.6471666666666667,0.7511666666666666
