algos,0,1,2,3,4,5,6,7
RF,0.1647142857142857,0.225,0.27914285714285714,0.35314285714285715,0.3931428571428571,0.44385714285714284,0.4617142857142857,0.49942857142857144
resnet,0.134,0.1467142857142857,0.18,0.3018571428571429,0.4584285714285714,0.5574285714285714,0.6654285714285715,0.7315714285714285
simpleCNN,0.17257142857142857,0.155,0.205,0.2867142857142857,0.36028571428571426,0.4397142857142857,0.5197142857142857,0.5651428571428572
2layercnn,0.14285714285714285,0.15671428571428572,0.16071428571428573,0.169,0.16528571428571429,0.31985714285714284,0.39571428571428574,0.542
5layercnn,0.14357142857142857,0.15085714285714286,0.17657142857142857,0.32271428571428573,0.4582857142857143,0.49757142857142855,0.566,0.6797142857142857
