algos,0,1,2,3,4,5,6,7
RF,0.334,0.447,0.51225,0.5415,0.61575,0.65925,0.68,0.7125
resnet,0.258,0.25875,0.30375,0.54925,0.67,0.774,0.831,0.8765
simpleCNN,0.22925,0.2005,0.35075,0.45775,0.55575,0.66125,0.72325,0.77625
2layercnn,0.244,0.2505,0.2895,0.3105,0.406,0.48175,0.60475,0.741
5layercnn,0.2495,0.258,0.36475,0.55025,0.6265,0.75725,0.80125,0.85375
