algos,0,1,2,3,4,5,6,7
RF,0.2613333333333333,0.2675,0.35033333333333333,0.421,0.44783333333333336,0.48733333333333334,0.527,0.552
resnet,0.16316666666666665,0.16383333333333333,0.2135,0.395,0.5263333333333333,0.6323333333333333,0.7133333333333334,0.7908333333333334
simpleCNN,0.163,0.20283333333333334,0.2265,0.344,0.4226666666666667,0.4886666666666667,0.5691666666666667,0.6055
2layercnn,0.1075,0.19033333333333333,0.16833333333333333,0.2135,0.28633333333333333,0.4181666666666667,0.46266666666666667,0.5706666666666667
5layercnn,0.152,0.17366666666666666,0.25466666666666665,0.4216666666666667,0.49733333333333335,0.5811666666666667,0.6371666666666667,0.7545
