algos,0,1,2,3,4,5,6,7
RF,0.2615,0.28633333333333333,0.37883333333333336,0.384,0.48783333333333334,0.526,0.565,0.5863333333333334
resnet,0.1815,0.161,0.24283333333333335,0.385,0.5503333333333333,0.6438333333333334,0.7463333333333333,0.812
simpleCNN,0.15783333333333333,0.19366666666666665,0.2225,0.37333333333333335,0.44583333333333336,0.49866666666666665,0.5995,0.6478333333333334
2layercnn,0.16866666666666666,0.167,0.155,0.18416666666666667,0.20133333333333334,0.38366666666666666,0.49283333333333335,0.6031666666666666
5layercnn,0.14316666666666666,0.18983333333333333,0.22716666666666666,0.38283333333333336,0.5328333333333334,0.6146666666666667,0.6713333333333333,0.7586666666666667
