algos,0,1,2,3,4,5,6,7
RF,0.2495,0.261,0.36933333333333335,0.43,0.45766666666666667,0.49933333333333335,0.5195,0.5543333333333333
resnet,0.1565,0.17233333333333334,0.23266666666666666,0.3965,0.5221666666666667,0.6188333333333333,0.715,0.7788333333333334
simpleCNN,0.24283333333333335,0.19683333333333333,0.22866666666666666,0.35533333333333333,0.43866666666666665,0.4846666666666667,0.5571666666666667,0.6075
2layercnn,0.1585,0.20133333333333334,0.16483333333333333,0.22366666666666668,0.2805,0.377,0.4723333333333333,0.5778333333333333
5layercnn,0.154,0.158,0.25316666666666665,0.41833333333333333,0.4558333333333333,0.5376666666666666,0.6533333333333333,0.746
