algos,0,1,2,3,4,5,6,7
RF,0.23,0.341,0.3541666666666667,0.41133333333333333,0.457,0.5085,0.526,0.5483333333333333
resnet,0.14583333333333334,0.17583333333333334,0.21633333333333332,0.38666666666666666,0.5401666666666667,0.6268333333333334,0.708,0.7665
simpleCNN,0.19233333333333333,0.17183333333333334,0.2335,0.37266666666666665,0.42883333333333334,0.504,0.541,0.5806666666666667
2layercnn,0.166,0.122,0.177,0.178,0.33016666666666666,0.362,0.4691666666666667,0.5543333333333333
5layercnn,0.1805,0.1565,0.21183333333333335,0.4068333333333333,0.5055,0.5896666666666667,0.6335,0.7076666666666667
