algos,0,1,2,3,4,5,6,7
RF,0.20183333333333334,0.284,0.3685,0.38866666666666666,0.4876666666666667,0.5218333333333334,0.5508333333333333,0.5756666666666667
resnet,0.1585,0.1635,0.23166666666666666,0.37783333333333335,0.5328333333333334,0.6466666666666666,0.7438333333333333,0.801
simpleCNN,0.16766666666666666,0.14033333333333334,0.24483333333333332,0.36466666666666664,0.46116666666666667,0.5315,0.582,0.632
2layercnn,0.122,0.18533333333333332,0.17,0.23066666666666666,0.23516666666666666,0.3973333333333333,0.4891666666666667,0.5933333333333334
5layercnn,0.13283333333333333,0.14016666666666666,0.24616666666666667,0.4103333333333333,0.5275,0.5898333333333333,0.687,0.7666666666666667
