algos,0,1,2,3,4,5,6,7
RF,0.2765,0.31683333333333336,0.35433333333333333,0.4195,0.4585,0.5006666666666667,0.5276666666666666,0.5508333333333333
resnet,0.16416666666666666,0.1545,0.2638333333333333,0.3873333333333333,0.5328333333333334,0.6221666666666666,0.7006666666666667,0.7573333333333333
simpleCNN,0.17666666666666667,0.1585,0.257,0.32816666666666666,0.4405,0.48583333333333334,0.5638333333333333,0.5945
2layercnn,0.18833333333333332,0.16866666666666666,0.1655,0.1835,0.30966666666666665,0.3475,0.4558333333333333,0.5563333333333333
5layercnn,0.15216666666666667,0.19833333333333333,0.22216666666666668,0.403,0.4915,0.575,0.6493333333333333,0.7228333333333333
