algos,0,1,2,3,4,5,6,7
RF,0.26033333333333336,0.27466666666666667,0.32716666666666666,0.4098333333333333,0.4658333333333333,0.516,0.5566666666666666,0.583
resnet,0.17016666666666666,0.16,0.214,0.39466666666666667,0.5308333333333334,0.625,0.724,0.7936666666666666
simpleCNN,0.13616666666666666,0.18283333333333332,0.2305,0.3308333333333333,0.40166666666666667,0.505,0.5885,0.6526666666666666
2layercnn,0.15933333333333333,0.17,0.20616666666666666,0.17433333333333334,0.247,0.388,0.4811666666666667,0.6318333333333334
5layercnn,0.18216666666666667,0.1745,0.24866666666666667,0.3795,0.5155,0.5878333333333333,0.6746666666666666,0.756
