algos,0,1,2,3,4,5,6,7
RF,0.26566666666666666,0.29033333333333333,0.36,0.406,0.462,0.5156666666666667,0.5396666666666666,0.5755
resnet,0.185,0.172,0.21033333333333334,0.392,0.5105,0.6328333333333334,0.7093333333333334,0.793
simpleCNN,0.1915,0.2325,0.2708333333333333,0.35733333333333334,0.41183333333333333,0.49683333333333335,0.5538333333333333,0.6323333333333333
2layercnn,0.16666666666666666,0.15416666666666667,0.16633333333333333,0.20466666666666666,0.26566666666666666,0.3615,0.459,0.5863333333333334
5layercnn,0.187,0.15383333333333332,0.24166666666666667,0.3621666666666667,0.51,0.5823333333333334,0.6743333333333333,0.7118333333333333
