algos,0,1,2,3,4,5,6,7
RF,0.36075,0.472,0.51,0.59425,0.63975,0.6695,0.70125,0.7215
resnet,0.2595,0.23625,0.37675,0.611,0.733,0.79275,0.853,0.8875
simpleCNN,0.2805,0.22325,0.409,0.522,0.6045,0.6675,0.73875,0.7645
2layercnn,0.2715,0.1625,0.26125,0.29575,0.396,0.5085,0.63075,0.75075
5layercnn,0.306,0.239,0.3455,0.59475,0.705,0.75925,0.82275,0.8645
