algos,0,1,2,3,4,5,6,7
RF,0.1442857142857143,0.22442857142857142,0.31685714285714284,0.36342857142857143,0.407,0.442,0.4762857142857143,0.5105714285714286
resnet,0.15628571428571428,0.145,0.20885714285714285,0.33585714285714285,0.4602857142857143,0.5705714285714286,0.6527142857142857,0.729
simpleCNN,0.16385714285714287,0.164,0.21714285714285714,0.24614285714285714,0.393,0.43914285714285717,0.5142857142857142,0.5561428571428572
2layercnn,0.14242857142857143,0.131,0.16228571428571428,0.15471428571428572,0.26257142857142857,0.32357142857142857,0.42014285714285715,0.5294285714285715
5layercnn,0.15371428571428572,0.13314285714285715,0.22,0.30757142857142855,0.432,0.5578571428571428,0.593,0.6792857142857143
