algos,0,1,2,3,4,5,6,7
RF,0.3216,0.3122,0.4288,0.4784,0.539,0.5878,0.6114,0.6396
resnet,0.1946,0.2194,0.304,0.4828,0.6014,0.6998,0.777,0.8342
simpleCNN,0.136,0.217,0.3428,0.4402,0.5134,0.5562,0.6402,0.6898
2layercnn,0.1806,0.1998,0.2178,0.3184,0.2958,0.4638,0.5424,0.6804
5layercnn,0.1876,0.188,0.3056,0.4912,0.5988,0.6652,0.7264,0.802
