algos,0,1,2,3,4,5,6,7
RF,0.14457142857142857,0.19785714285714287,0.281,0.32242857142857145,0.4022857142857143,0.42814285714285716,0.45271428571428574,0.4857142857142857
resnet,0.15757142857142858,0.16028571428571428,0.17,0.3524285714285714,0.4697142857142857,0.5507142857142857,0.631,0.7045714285714286
simpleCNN,0.12814285714285714,0.164,0.23057142857142857,0.281,0.36814285714285716,0.42757142857142855,0.49857142857142855,0.5554285714285714
2layercnn,0.14242857142857143,0.13114285714285714,0.1427142857142857,0.188,0.22885714285714287,0.2765714285714286,0.39685714285714285,0.5098571428571429
5layercnn,0.13814285714285715,0.12285714285714286,0.2082857142857143,0.3512857142857143,0.4372857142857143,0.5151428571428571,0.5631428571428572,0.6301428571428571
