algos,0,1,2,3,4,5,6,7
RF,0.755,0.7705,0.812,0.8445,0.8645,0.869,0.887,0.9035
resnet,0.478,0.5085,0.6855,0.864,0.9285,0.9445,0.966,0.982
simpleCNN,0.3915,0.478,0.691,0.772,0.8455,0.862,0.903,0.9325
2layercnn,0.4165,0.4955,0.526,0.638,0.709,0.7865,0.896,0.933
5layercnn,0.5,0.408,0.8075,0.859,0.89,0.9395,0.9565,0.982
